HCH_012_041_000000	山東《禹貢》青、兗二州地。
HCH_012_041_000512	北有濰水，東北有盧水，流合焉。
HCH_012_041_000513	南有信陽鎮巡檢司。
HCH_012_041_000514	又南有南龍灣海口巡檢司。
HCH_012_041_000515	蒙陰府西南。
HCH_012_041_000516	元屬莒州。
HCH_012_041_000517	洪武二年七月改屬府。
HCH_012_041_000518	南有蒙陰山。
HCH_012_041_000519	東有長山，有蒙水，北流入沂水。
HCH_012_041_000520	東南有紫荊關巡檢司。
HCH_012_041_000521	萬曆間廢。
HCH_012_041_000522	莒州元屬益都路。
HCH_012_041_000523	洪武初，以州治莒縣省入。
HCH_012_041_000524	西有浮來山。
HCH_012_041_000525	又西北有箕屋山，濰水出焉。
HCH_012_041_000526	又西南有沭水，流入沂州界。
HCH_012_041_000527	南有十字路、西南有葛溝店二巡檢司。
HCH_012_041_000528	北距府二百里。
