HCH_009_011_000368	敕點檢司：「致仕官入宮，年高艱於步履者，並聽策杖，仍令舍人護衛扶之。」
HCH_009_011_000369	丁巳，敕有司祈雨，仍頒土龍法。
HCH_009_011_000370	己未，命吏部侍郎李炳、國子司業蒙括仁本、知登聞檢院喬宇等再詳定《儀禮》。
HCH_009_011_000371	庚申，諭省司：「宮中所用物，如民間難得，勿強市之。」
HCH_009_011_000372	癸亥，尚書省奏，遣官分路覆實御史所察事。
HCH_009_011_000373	五月壬申，以重五，拜天，射柳，上三發三中。
HCH_009_011_000374	四品以上官侍宴魚藻殿。
HCH_009_011_000375	以天氣方暑，命兵士甲者釋之。
HCH_009_011_000376	丙戌，以定律令、正土德、鳳凰來、皇嗣建，大赦。
HCH_009_011_000377	辛卯，皇子葛王薨。
HCH_009_011_000378	壬辰，定擅增減宮門鎖鑰罪。
HCH_009_011_000379	丙申，作太極宮。
HCH_009_011_000380	六月己亥，太白晝見。
HCH_009_011_000381	壬寅，詔選聰明方正之士為修起居注。
HCH_009_011_000382	又詰點檢司，諸親軍所設教授及授業人若干，其為教何法，通大義者幾人，各具以聞。
HCH_009_011_000383	戊申，定職官追贈法，惟嘗犯贓罪者不在追贈之列。
HCH_009_011_000384	壬戌，遣官行視中都田禾雨澤分數。
HCH_009_011_000385	七月壬申，朝獻于衍慶宮。
HCH_009_011_000386	乙亥，定大臣薨百官奉慰禮。
HCH_009_011_000387	庚辰，獵於近郊。
HCH_009_011_000388	丁亥，上諭宰臣：「凡奏事，朕欲徐思或如己者，若除授事，可俟三五日再奏，餘並二十日奏之。」
HCH_009_011_000389	八月丙辰，還宮。
HCH_009_011_000390	庚申，命編修官左容充宮教，賜銀、幣。
HCH_009_011_000391	九月丙寅朔，天壽節，宋、高麗、夏遣使來賀。
HCH_009_011_000392	壬申，以刑部尚書承暉等為賀宋生日使。
HCH_009_011_000393	戊子，以萬甯宮提舉司隸工部。
HCH_009_011_000394	壬辰，詔定千戶謀克受隨處捕盜官公移，盜急，不即以眾應之者罪有差。
HCH_009_011_000395	召右丞相宗浩還朝。
HCH_009_011_000396	冬十月戊戌，日將暮，赤如赭。
