HCH_012_296_000216	父兄並有罪，吏將逮治。
HCH_012_296_000217	宗濟謂兄曰：「事涉徭役，國法嚴，往必死。父老矣，兄冢嗣，且未有後，我幸產兒，可代死。」
HCH_012_296_000218	乃挺身詣吏，白父兄無所預。
HCH_012_296_000219	吏疑而訊之，悉自引伏。
HCH_012_296_000220	洪武四年竟斬於市，年二十二。
HCH_012_296_000221	剛，浙江新昌人。
HCH_012_296_000222	洪武初，父謫役泗上，以逃亡當死，敕駙馬都尉梅殷監刑。
HCH_012_296_000223	剛時方走省，立河上俟渡。
HCH_012_296_000224	聞之，即解衣泅水而往，哀號泣代。
HCH_012_296_000225	殷憫之，奏聞，詔宥其父，並宥同罪者八十二人。
HCH_012_296_000226	圭，黃巖人。
HCH_012_296_000227	父為仇人所訐當死，圭詣闕上章曰：「臣為子不能諫父，致陷不義，罪當死，乞原父使自新。」
HCH_012_296_000228	帝大喜曰：「不謂今日有此孝子，宜赦其父，俟四方朝覲官至，播告之，以風勵天下。」
HCH_012_296_000229	刑部尚書開濟奏曰：「罪有常刑，不宜屈法開僥幸路。」
HCH_012_296_000230	乃聽圭代，而戍其父雲南。
HCH_012_296_000231	十七年，左都御史詹徽奏言：「太平府民有毆孕婦至死者，罪當絞，其子請代。」
HCH_012_296_000232	章下大理卿鄒俊議，曰：「子代父死，情固可嘉。然死婦系二人之命，冤曷由申；犯人當二死之條，律何可貸。與其存犯法之父，孰若全無罪之兒。」
HCH_012_296_000233	詔從其議。
HCH_012_296_000234	伍洪，字伯宏，安福人。
HCH_012_296_000235	洪武四年進士。
HCH_012_296_000236	授績谿主簿，擢上元知縣。
HCH_012_296_000237	丁外艱，服除，以母老不復仕。
HCH_012_296_000238	推資產與諸弟，而己獨隱居養母。
HCH_012_296_000239	有異母弟得罪逃，使者捕弗獲，執其母，洪哭訴求代。
HCH_012_296_000240	母曰：「汝往必死，莫若吾自當之。」
HCH_012_296_000241	洪曰：「安有子在而累母者。」
HCH_012_296_000242	遂行，竟死於市。
HCH_012_296_000243	時有劉文煥者，廣濟人。
HCH_012_296_000244	與兄文煇運糧愆期，當死。
HCH_012_296_000245	兄以長坐，文煥詣吏請代，叩頭流血。
HCH_012_296_000246	所司上其狀，命宥之，則兄已死矣。
HCH_012_296_000247	太祖特書「義民」二字獎之。
HCH_012_296_000248	時京師有兄坐法，兩弟各自縛請代。
HCH_012_296_000249	太祖遣使問故，同詞對曰：「臣少失父，非兄無以至今日。兄當死，弟安敢愛其生。」
HCH_012_296_000250	帝陽許之，而戒行刑者曰：「有難色者殺之，否則奏聞。」
HCH_012_296_000251	兩人皆引頸就刃，帝大嗟異，欲並其兄貰之。
HCH_012_296_000252	左都御史詹徽持不可，卒殺其兄。
HCH_012_296_000253	朱煦，仙居人。
HCH_012_296_000254	父季用，為福州知府。
