HCH_010_038_000444	兵事隸北兵馬司。
HCH_010_038_000445	統縣一：析木縣。
HCH_010_038_000446	本漢望平縣地，渤海爲花山縣。
HCH_010_038_000447	初隸東京，後來屬。
HCH_010_038_000448	屽州，刺史。
HCH_010_038_000449	渤海置。
HCH_010_038_000450	兵事隸南兵馬司。
HCH_010_038_000451	率賓府，刺史。
HCH_010_038_000452	故率賓國地。
HCH_010_038_000453	定理府，刺史。
HCH_010_038_000454	故挹婁國地。
HCH_010_038_000455	鐵利府，刺史。
HCH_010_038_000456	故鐵利國地。
HCH_010_038_000457	安定府。
HCH_010_038_000458	<二八>長嶺府。
HCH_010_038_000459	鎮海府，防禦。
HCH_010_038_000460	兵事隸南女直湯河司。
HCH_010_038_000461	統縣一：平南縣。
HCH_010_038_000462	冀州，防禦。
HCH_010_038_000463	聖宗建，升永安軍。
HCH_010_038_000464	東州。
HCH_010_038_000465	以渤海戶置。
HCH_010_038_000466	尚州。
HCH_010_038_000467	以渤海戶置。
HCH_010_038_000468	吉州，福昌軍，刺史。
HCH_010_038_000469	麓州，下，刺史。
HCH_010_038_000470	渤海置。
HCH_010_038_000471	荊州，刺史。
HCH_010_038_000472	懿州，寧昌軍，節度。
HCH_010_038_000473	太平三年越國公主以媵臣戶置。
HCH_010_038_000474	初曰慶懿軍，更曰廣順軍，隸上京。
HCH_010_038_000475	清寧七年宣懿皇后進入，改今名。
HCH_010_038_000476	統縣二：寧昌縣。
HCH_010_038_000477	本平陽縣。
HCH_010_038_000478	順安縣。
HCH_010_038_000479	媵州，昌永軍，刺史。
HCH_010_038_000480	順化城，向義軍，下，刺史。
HCH_010_038_000481	開泰三年以漢戶置。
HCH_010_038_000482	兵事隸東京統軍司。
HCH_010_038_000483	寧州，觀察。
HCH_010_038_000484	統和二十九年伐高麗，以渤海降戶置。
HCH_010_038_000485	兵事隸東京統軍司。
HCH_010_038_000486	統縣一：新安縣。
HCH_010_038_000487	衍州，安廣軍，防禦。
HCH_010_038_000488	以漢戶置。
HCH_010_038_000489	初刺史，後升軍。
HCH_010_038_000490	兵事屬東京統軍司。
HCH_010_038_000491	統縣一：宜豐縣。
