HCH_010_053_000369	歲十月，五京進紙造小衣甲、槍刀、器械萬副。
HCH_010_053_000370	十五日，天子與群臣望祭木葉山，用國字書狀，並焚之。
HCH_010_053_000371	國語謂之「戴辣」。
HCH_010_053_000372	「戴」，燒也；「辣」，甲也。
HCH_010_053_000373	冬至日，國俗，屠白羊、白馬、白雁，各取血和酒，天子望拜黑山。
HCH_010_053_000374	黑山在境北，俗謂國人魂魄，其神司之，猶中國之岱宗雲。
HCH_010_053_000375	每歲是日，五京進紙造人馬萬餘事，祭山而焚之。
HCH_010_053_000376	俗甚嚴畏，非祭不敢近山。
HCH_010_053_000377	臘辰日：天子率北南臣僚並戎服，戊夜坐朝，作樂飲酒，等第賜甲仗、羊馬。
HCH_010_053_000378	國語謂是日為「炒伍侕叵」。
HCH_010_053_000379	「炒伍侕」，戰也。
HCH_010_053_000380	再生儀：凡十有二歲，皇帝本命前一年季冬之月，擇吉日。
HCH_010_053_000381	前期，禁門北除地置再生室、母後室、先帝神主輿。
HCH_010_053_000382	在再生室東南，倒植三岐木。
